generated_query,device_info,language
"குளிர்சாதன பெட்டியின் பிரகாசத்தை 4 ஆகவும், பொழுதுபோக்கை இடதுபுறமாகவும் மாற்றவும், பிறகு விசிறியை தானியங்கியாக்கி, துணி துவைப்பதை கடினமான முறையில் சாதாரண அழுக்குடன் தொடங்கவும்.","[{'device': 'fridge', 'mode': 'DisplayBrightness', 'args': {'level': 4}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'navigate', 'args': {'direction': 'left'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'HeavyDuty', 'args': {'soil_level': 'normal'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Tamil (Tamil Script)
"धुलाई सुरू कर, मग पंखा आपोआप चालू कर, आणि त्याच वेळी टीव्हीचा आवाज वाढव.","[{'device': 'washer', 'mode': 'Denim', 'args': {'color_shade': 'light'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'volume', 'args': {'direction': 'up', 'level': 41}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Marathi (Devanagari)
"டிவியை டிஸ்னி+ செயலியைத் திறக்கச் சொல்லு, பிறகு வாஷரில் பவர் ஸ்டீமை அதிக அழுக்கு லெவலில் போடு, அதுக்கப்புறம் டிரையரில் டெனிம்மை ஆன் பண்ணு, கூடவே ஏசியையும் ஆன் பண்ணு.","[{'device': 'tv', 'mode': 'openApp', 'args': {'appName': 'Disney+'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'PowerSteam', 'args': {'soil_level': 'heavy'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'dryer', 'mode': 'Denim', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'PowerOn', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Tamil (Tamil Script)
"Start the microwave on convection at 800 watts for 6 and a half minutes, and then start the dryer on AirFluff, after that start the laundry for whites on a light soil level.","[{'device': 'microwave', 'mode': 'Convection', 'args': {'watts': 800, 'time': 6.5}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'AirFluff', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Normal', 'args': {'load_type': 'whites', 'soil_level': 'light'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",English (Latin)
"ആദ്യം ഫാൻ ഓട്ടോ മോഡിൽ ഇടുക, അതിനു ശേഷം ടിവിയുടെ സെറ്റിംഗ്സിൽ സിസ്റ്റം മെനുവിൽ പോകുക, അതേസമയം ഫ്രിഡ്ജിന്റെ ഡിസ്‌പ്ലേയുടെ തെളിച്ചം 2 ആക്കുക.","[{'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'settings', 'args': {'menu': 'system'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'DisplayBrightness', 'args': {'level': 2}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Malayalam (Malayalam Script)
ಏಸಿಯನ್ನು ಪ್ಲಾಸ್ಮಾ ಪ್ಯೂರಿಫೈ ಮೋಡ್‌ನಲ್ಲಿ ಹಾಕಿ.,"[{'device': 'ac', 'mode': 'PlasmaPurify', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]",Kannada (Kannada Script)
மைக்ரோவேவை பிடித்ததற்கு மாற்று,"[{'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}]",Tamil (Tamil Script)
ಇನ್ಪುಟ್ ಅನ್ನು ಟಿವಿ ಗೆ ಬದಲಾಯಿಸಿ.,"[{'device': 'tv', 'mode': 'inputSource', 'args': {'source': 'TV'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Kannada (Kannada Script)
ഫാനിന്റെ വേഗത 5 കൂട്ടിയിട്ട് എസി സൈലന്റ് മോഡിൽ ഇടൂ.,"[{'device': 'fan', 'mode': 'speed', 'args': {'action': 'increase by', 'level': 5}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'Quiet', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}]",Malayalam (Malayalam Script)
ఆటోలో పెట్టండి.,"[{'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Telugu (Telugu Script)
Activewear-ukku laundry-ai podu.,"[{'device': 'dryer', 'mode': 'Activewear', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Romanised Tamil (Latin)
"Fridge smartgrid lo undali, ventane fan auto mode lo pettandi. TV exit ayyaka, dryer airfluff tho microwave convection lo 100 watts ki oka ganta muguta padi nimishalu pettandi.","[{'device': 'fridge', 'mode': 'SmartGrid', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'exit', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'AirFluff', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Convection', 'args': {'watts': 100, 'time': 1.5}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Telugu (Latin)
"pahle microwave ne soften karo 6 minute mate, pachi dryer ne sanitize karo, tyar baad pankha ni speed 2 ghatao, ane aagal fridge ne smartgrid par set karo.","[{'device': 'microwave', 'mode': 'Soften', 'args': {'time': 6.0}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Sanitize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'decrease by', 'level': 2}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'SmartGrid', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Gujarati (Latin)
"Turn on the child lock on the fridge, and then turn on the AC fan.","[{'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Fan', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",English (Latin)
"Fridge ni AI Refrigeration lo pettu mariyu fan ni off cheyyi, tarvata microwave lo favorite start cheyyi, appude entertainment channel marchu mariyu cooling SelfClean koro.","[{'device': 'fridge', 'mode': 'AIRefrigeration', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'channel', 'args': {'direction': 'up'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'SelfClean', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Telugu (Latin)
दुर्गंधी काढणे सुरु कर.,"[{'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Marathi (Devanagari)
Cooling ka filter saaf kardo.,"[{'device': 'ac', 'mode': 'FilterClean', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Romanised Urdu (Latin)
"Laundry dryer ah delicate mode la podu, appuram microwave la soften function ah 30.5 seconds ku start pannu, apove entertainment off pannu, washer ah eco cold mode la normal soil level vechu start pannu.","[{'device': 'dryer', 'mode': 'Delicates', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'exit', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Soften', 'args': {'time': 30.5}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'EcoCold', 'args': {'soil_level': 'normal'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Tamil (Latin)
மைக்ரோவேவை சுத்தமாக்கு.,"[{'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Tamil (Tamil Script)
"Fan speed kootuka appo dryer SteamSanitize load wet ayittundu ennu parayuka, athinu shesham microwave deodorize koro, pinne tv menu open cheyyu, athinu shesham fridge SelfClean koro.","[{'device': 'fan', 'mode': 'speed', 'args': {'action': 'up'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'dryer', 'mode': 'SteamSanitize', 'args': {'load_status': 'wet'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'menu', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'SelfClean', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Malayalam (Latin)
پہلے ہیٹنگ شروع کرو، اور ساتھ ہی ٹی وی کی آواز ترپن درجے کم کرو۔ پھر پنکھا خودکار موڈ پر چلاؤ۔ اس کے بعد تولیوں کے لیے ڈرائر چلاؤ، اور اس کے ساتھ ہی واشنگ مشین عام بوجھ اور مٹی کی عام سطح کے ساتھ چلاؤ۔,"[{'device': 'ac', 'mode': 'Heat', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'volume', 'args': {'direction': 'decrease by', 'level': 54}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Towels', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Normal', 'args': {'load_type': 'regular', 'soil_level': 'normal'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Urdu (Nastaliq)
"Cooling chalao nal hi, fir entertainment te select karo, te phir microwave nu convection mode te 100 watts naal 28.5 minute layi chalao.","[{'device': 'ac', 'mode': 'PlasmaPurify', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'navigate', 'args': {'direction': 'select'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Convection', 'args': {'watts': 100, 'time': 28.5}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Punjabi (Latin)
"ਪਹਿਲਾਂ ਫਰਿੱਜ ਨੂੰ ਸਮਾਰਟਗ੍ਰਿਡ 'ਤੇ ਲਗਾਓ, ਫਿਰ ਕੂਲਿੰਗ ਨੂੰ ਹਿਊਮਿਡਿਟੀ ਕੰਟਰੋਲ 'ਤੇ ਕਰੋ, ਉਸ ਤੋਂ ਬਾਅਦ ਲਾਂਡਰੀ ਨੂੰ ਕਲਰਜ਼ 'ਤੇ ਪਾਓ, ਅਤੇ ਅੰਤ ਵਿੱਚ ਟੀਵੀ ਬੰਦ ਕਰੋ।","[{'device': 'fridge', 'mode': 'SmartGrid', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'HumidityControl', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Colors', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'exit', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Punjabi (Gurmukhi)
"Laundry delikat-e chalakalin, porer muhurtei microwave-ta 220 degree-te 20.5 minit-er jonno on koro.","[{'device': 'dryer', 'mode': 'Delicates', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Microwave', 'args': {'temp': 220, 'time': 20.5}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Bengali (Latin)
