generated_query,device_info
"Pehle dryer ko Delicates mode mein chalao, phir pankha chalu karo, uske baad microwave mein 30.5 second ke liye defrost karo, phir entertainment band karo, aur aakhir mein kapde dhone ki machine mein jeans ke saath Bedding cycle, load size 4 par set karo.","[{'device': 'dryer', 'mode': 'Delicates', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'QuickDefrost', 'args': {'time': 30.5}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'exit', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Bedding', 'args': {'item_type': 'jeans', 'load_size': 4}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
"AC ka swing band karo, microwave mein soften mode 9.5 minutes ke liye chalao, washer ko RinseSpin mode mein start karo, aur fan ki speed 4 level badhao.","[{'device': 'ac', 'mode': 'Swing', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'Soften', 'args': {'time': 9.5}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'RinseSpin', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'increase by', 'level': 4}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]"
Microwave ko favorite mode par chalao aur saath hi heating tez karne ke liye AC bhi chala do.,"[{'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'FastHeat', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"कमरे में नमी कम करने के लिए AC चालू करो और फ्रिज में बर्फ बनाना शुरू करो, फिर जब कपड़े धुल जाएं तो वॉशर को रिंस और स्पिन मोड पर चलाओ।","[{'device': 'ac', 'mode': 'Dry', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'RinseSpin', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'IceMaker', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
हवा के लिए पंखा ऑटो पर चला दो,"[{'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]"
"Record entertainment for 41 minutes, and at the same time deodorize the food storage for 19 minutes, then once recording is done, set the cooling to quiet mode.","[{'device': 'tv', 'mode': 'record', 'args': {'duration': 41}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'Deodorize', 'args': {'duration': 19}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Quiet', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"सबसे पहले माइक्रोवेव को 28.5 सेकंड के लिए सॉफ्टन मोड पर चलाओ, और साथ ही AC का पंखा चालू कर दो और फ्रिज में चाइल्ड लॉक लगा दो।","[{'device': 'microwave', 'mode': 'Soften', 'args': {'time': 28.5}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'Fan', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]"
"Dryer ko SteamSanitize mode mein chalao jab load wet ho, phir jab dryer band ho jaaye toh fan ko on kar dena.","[{'device': 'dryer', 'mode': 'SteamSanitize', 'args': {'load_status': 'wet'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]"
"Start the HeavyDuty cycle on the washing machine along with turning off the child lock on the fridge, then once that's done, use the dryer's Wool setting for cotton that is machine washable.","[{'device': 'dryer', 'mode': 'Wool', 'args': {'fabric_type': 'cotton', 'machine_washable': True}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'HeavyDuty', 'args': {'soil_level': 'heavy'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"Fridge ka DoorAlarm band karo, phir Dryer ko PermPress mode mein synthetic ke liye chalao, phir Washer ko AIOptiWash pe chalao.","[{'device': 'fridge', 'mode': 'DoorAlarm', 'args': {'status': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}, {'device': 'dryer', 'mode': 'PermPress', 'args': {'fabric_type': 'synthetic'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'AIOptiWash', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}]"
Kapde dhone ke liye steam normal cycle shuru karo.,"[{'device': 'washer', 'mode': 'SteamNormal', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]"
"फ्रिज को सेल्फ क्लीन पर, पंखे को ऑटो मोड पर और टीवी को HDMI2 इनपुट पर एक साथ चालू करो, फिर AC को प्लाज्मा प्यूरिफाई मोड पर चलाओ।","[{'device': 'fridge', 'mode': 'SelfClean', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'inputSource', 'args': {'source': 'HDMI2'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'PlasmaPurify', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]"
"Washer ko denim mode mein dark color ke liye chalao aur fridge mein 29 minute ke liye energy saving mode shuru karo, phir uske baad thandak ke liye cooling chala do.","[{'device': 'washer', 'mode': 'Denim', 'args': {'color_shade': 'dark'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'EnergySavingMode', 'args': {'duration': 29}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Cool', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
Pehle entertainment device ka menu kholo.,"[{'device': 'tv', 'mode': 'menu', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
"TV pe information dikhao aur washer me self clean chalao, phir jab woh ho jaye toh pankhe ko auto mode par laga do.","[{'device': 'tv', 'mode': 'info', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SelfClean', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
Decrease the fan speed by 4 levels.,"[{'device': 'fan', 'mode': 'speed', 'args': {'action': 'decrease by', 'level': 4}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
"सबसे पहले फ्रिज का चाइल्ड लॉक बंद करो और कपड़े धोने के लिए वाशर चालू करो, फिर जब ये हो जाए तो टीवी का मेनू खोलो, और उसके बाद पंखे की स्पीड 3 लेवल कम कर दो।","[{'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'decrease by', 'level': 3}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'menu', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Colors', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"वाशर में रिंस और स्पिन चालू करो और साथ ही पंखे को ऑटो मोड में लगा दो, फिर माइक्रोवेव में 30 मिनट के लिए क्विक डिफ्रॉस्ट चालू करो, उसके बाद फ्रिज में आइस मेकर बंद कर दो","[{'device': 'washer', 'mode': 'RinseSpin', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'QuickDefrost', 'args': {'time': 30.0}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'IceMaker', 'args': {'status': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]"
"Pehle pankhe ki speed kam karo, phir cooling ka child lock band karo, uske baad dryer ko Wool mode mein synthetic ke liye chalao aur machine washable option on rakho, aur ant mein kapde dhone wali machine ko SteamWhites mode mein bleach option ke saath chalao.","[{'device': 'fan', 'mode': 'speed', 'args': {'action': 'down'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'ChildLock', 'args': {'status': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Wool', 'args': {'fabric_type': 'synthetic', 'machine_washable': True}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SteamWhites', 'args': {'bleach_option': 'yes'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
"कमरे को जल्दी ठंडा करने के लिए AC को टर्बो मोड पर चालू करो और कपड़ों को भाप से साफ़ करने के लिए वाशर को भी चालू करो, फिर जब ये हो जाए तो टीवी गाइड खोलो, और साथ ही माइक्रोवेव को 600 वाट पर साढ़े चौदह मिनट के लिए कन्वेक्शन मोड पर चालू करो","[{'device': 'ac', 'mode': 'Turbo', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'PowerSteam', 'args': {'soil_level': 'light'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'guide', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Convection', 'args': {'watts': 600, 'time': 14.5}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"TV par channel neeche karo, saath mein fan ko auto mode par set karo, fridge ka temperature -1 degree set karo, washing machine ko whites ke liye heavy soil level par chalao, aur microwave ko deodorize karo.","[{'device': 'tv', 'mode': 'channel', 'args': {'direction': 'down'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'SetFridgeTemp', 'args': {'temperature': -1}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Normal', 'args': {'load_type': 'whites', 'soil_level': 'heavy'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"सबसे पहले फ्रिज को वेकेशन मोड पर सेट करो, उसके बाद ड्रायर को सुपर स्पीड मोड में रिंकल फ्री कपड़ों के लिए चलाओ, फिर पंखा बंद कर दो, उसके बाद वॉशर को स्टीम सैनिटाइज मोड में नॉन-कलरफास्ट और हल्के गंदे कपड़ों के लिए चलाओ, और अंत में AC को एनर्जी सेविंग मोड पर सेट कर दो.","[{'device': 'fridge', 'mode': 'VacationMode', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'SuperSpeed', 'args': {'fabric_type': 'wrinklefree'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SteamSanitize', 'args': {'colorfast': False, 'soil_level': 'light'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'EnergySaving', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
Fan ki speed badhao.,"[{'device': 'fan', 'mode': 'speed', 'args': {'action': 'up'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}]"
Turn on the display light for cooling.,"[{'device': 'ac', 'mode': 'DisplayLight', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
"Fridge mein ice maker ko band karo, phir fan ko auto mode par chalao.","[{'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'IceMaker', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
कपड़े सुखाने के लिए डेनिम मोड चालू करो,"[{'device': 'dryer', 'mode': 'Denim', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
"Washer ko cotton ke kapdon ke liye heavy soil level par PermPress mode mein chalao. Phir, AC ko FastHeat mode mein shuru karo. Uske baad, microwave ko deodorize karo. Phir pankhe ko auto mode par set karo. Ant mein, fridge ko 33 minute ke liye deodorize karo.","[{'device': 'washer', 'mode': 'PermPress', 'args': {'fabric_type': 'cotton', 'soil_level': 'heavy'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'FastHeat', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'Deodorize', 'args': {'duration': 33}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]"
"Start the self-cleaning cycle on the washing appliance and use the auto cook function on the countertop appliance at the same time, then after they both are done, start fast cooling.","[{'device': 'washer', 'mode': 'SelfClean', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'FastCool', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"Pehle dryer ko AirFluff mode mein chalao. Fir jab dryer band ho jaye, toh AC ki fan speed high kar dena. Uske baad, microwave ko ConvectionPlus mode mein 400 watts par 28.5 minutes ke liye set karo.  Washer ko Activewear mode mein shuru karo, aur jab microwave bhi band ho jaye toh pankhe ko band kar dena.","[{'device': 'dryer', 'mode': 'AirFluff', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'FanSpeed', 'args': {'speed': 'high'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'ConvectionPlus', 'args': {'watts': 400, 'time': 28.5}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Activewear', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]"
"Run the microwave on ConvectionPlus at 200 watts for 16.5 minutes, then after that search YouTube for cat videos on the TV, set the AC to 26 degrees, and turn on the fan.","[{'device': 'microwave', 'mode': 'ConvectionPlus', 'args': {'watts': 200, 'time': 16.5}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'search', 'args': {'input': 'search YouTube for cat videos'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'TemperatureControl', 'args': {'temperature': 26}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]"
Switch the entertainment system to TV input.,"[{'device': 'tv', 'mode': 'inputSource', 'args': {'source': 'TV'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
"Dryer ko Sanitize mode me chalao, phir jab dryer khatam ho jaye to kapde dhone wali machine ko SteamNormal mode mein chala dena.","[{'device': 'dryer', 'mode': 'Sanitize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SteamNormal', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]"
